Gene stable ID,Chromosome/scaffold name,Gene name
ENSG00000215601,Y,TSPY24P
ENSG00000215603,Y,ZNF92P1Y
ENSG00000231341,Y,VDAC1P6
ENSG00000231436,Y,RBMY3AP
ENSG00000234795,Y,RFTN1P1
ENSG00000225878,Y,SERBP1P2
ENSG00000236435,Y,TSPY12P
ENSG00000278478,Y,
ENSG00000258991,Y,DUX4L19
ENSG00000237048,Y,TTTY12
ENSG00000147761,Y,TTTY7B
ENSG00000224518,Y,
ENSG00000231988,Y,OFD1P3Y
ENSG00000238073,Y,RBMY2HP
ENSG00000275866,Y,
ENSG00000237427,Y,TOMM22P1
ENSG00000131538,Y,TTTY6
ENSG00000271595,Y,ELOCP35
ENSG00000183704,Y,SLC9B1P1
ENSG00000233944,Y,LINC00265-3P
ENSG00000232927,Y,USP12PY
ENSG00000240450,Y,CSPG4P1Y
ENSG00000229250,Y,USP9YP31
ENSG00000239225,Y,TTTY23
ENSG00000277438,Y,KDM5DP1
ENSG00000147753,Y,TTTY7
ENSG00000228786,Y,LINC00266-4P
ENSG00000286217,Y,LINC00279
ENSG00000259154,Y,DUX4L17
ENSG00000169789,Y,PRY
ENSG00000231874,Y,TSPY18P
ENSG00000273589,Y,
ENSG00000226061,Y,PCMTD1P1
ENSG00000273863,Y,
ENSG00000280961,Y,TTTY3B
ENSG00000231514,Y,CCNQP2
ENSG00000235511,Y,OFD1P18Y
ENSG00000228571,Y,HSFY7P
ENSG00000227633,Y,RBMY2YP
ENSG00000223407,Y,USP9YP18
ENSG00000234744,Y,USP9YP26
ENSG00000226504,Y,TMEM167AP1
ENSG00000232845,Y,TRAPPC2P9
ENSG00000271375,Y,
ENSG00000169811,Y,RBMY1HP
ENSG00000235001,Y,EIF4A1P2
ENSG00000224634,Y,ZNF736P6Y
ENSG00000285470,Y,TUSC2P1
ENSG00000226092,Y,RBMY2AP
ENSG00000225516,Y,FAM197Y5
ENSG00000212856,Y,TTTY2B
ENSG00000277930,Y,
ENSG00000129862,Y,VCY1B
ENSG00000236620,Y,XKRYP3
ENSG00000228890,Y,TTTY21
ENSG00000234620,Y,PUDPP1
ENSG00000236690,Y,
ENSG00000273693,Y,CDRT15P10
ENSG00000114374,Y,USP9Y
ENSG00000232235,Y,CDY3P
ENSG00000239893,Y,ZNF736P9Y
ENSG00000169849,Y,TSPY14P
ENSG00000224827,Y,LINC00265-2P
ENSG00000284380,Y,
ENSG00000169807,Y,PRY2
ENSG00000225287,Y,OFD1P13Y
